Name,Version,LatestVersion,License,Website,ComponentType,Labels,Files,Vulnerabilities
apache-el,8.0.23.m1,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1435923830000,""File"":""6b31cef31343c234aa35dc2dded64a8a3fdcd663.jar""}]",[]
cglib,3.2.5,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""utility""]","[{""Timestamp"":1498756250000,""File"":""fe4bec760c88409d0acbeb38dc1ae1bf922577ac.jar""}]",[]
"build-helper-maven-plugin",1.5,,"{""Name"":""MIT"",""URL"":""https://opensource.org/licenses/MIT"",""Type"":""permissive""}","http://www.mojohaus.org/build-helper-maven-plugin/",Unknown,[],"[{""Timestamp"":1266273212000,""File"":""0a6ce9c4acff2479150d1c0916ae16da59a247f6.jar""}]",[]
"maven-scm-provider-starteam",1.7,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1335453948000,""File"":""8ea915f25852f3f807c0a0fba690e910230c30b0.jar""}]",[]
hk2-api,2.2.0,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
cglib-nodep,2.2,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1193671440000,""File"":""59afed7ab65e7ec6585d5bc60556c3cbd203532b.jar""}]",[]
cdi-api,1.2,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",http://jboss.org,Unknown,[],"[{""Timestamp"":1510356706000,""File"":""e4e8f88f82d9f6bb12228ccd6d38fce0445af82b.jar""}]",[]
zip4j,1.3.2,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","https://github.com/srikanth-lingala/zip4j",Unknown,[],"[{""Timestamp"":1388174880000,""File"":""4ba84e98ee017b74cb52f45962f929a221f3074c.jar""}]","[{""CVE"":""CVE-2018-1002202"",""Date"":1532539740000,""CVSS"":""5.8"",""Type"":""Exact Match""}]"
commons-digester,,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""xml""]","[{""Timestamp"":1435923884000,""File"":""f8cadce1d566908f9851a6caf47d33ab6497e135.jar""}]",[]
jetty-security,9.4.11.v20180605,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.eclipse.org/jetty",Unknown,[],"[{""Timestamp"":1540273444000,""File"":""038076997b10f5c762a210ea8b9f6099da35ac5f.jar""}]",[]
jackson-jaxrs-base,2.3.3,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
beanutils,1.6,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1091397296000,""File"":""5675fd96b29656504b86029551973d60fb41339b.jar""}]",[]
"jackson-module-jaxb-annotations",2.3.3,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","https://github.com/FasterXML/jackson-modules-base",Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
ehcache,2.10.6,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",http://ehcache.org,Unknown,[],"[{""Timestamp"":1540273444000,""File"":""038076997b10f5c762a210ea8b9f6099da35ac5f.jar""}]",[]
plexus-compiler-manager,1.6,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1262127158000,""File"":""b69a6432d53e2fa7c7d246c9f2e4ad2a4eef7237.jar""}]",[]
connector-java,5.1.45,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",http://iu.edu,Unknown,[],"[{""Timestamp"":1511339482000,""File"":""ee64ec436a87c35362176ea300d69c912d1cbeac.jar""}]",[]
plexus-compiler-javac,1.6,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1262127168000,""File"":""3b3b695dba3f9b3cc1ac6cb76731b8deca5412ae.jar""}]",[]
javax.ws.rs-api,2.0,,"{""Name"":""EPL"",""URL"":""http://www.eclipse.org/legal/epl-v10.html"",""Type"":""permissive""}","https://www.eclipse.org/org/foundation/",Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
velocity,1.5,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",http://www.apache.org/,Unknown,[],"[{""Timestamp"":1172134424000,""File"":""09f306baf7523ffc0e81a6353d08a584d254133b.jar""}]",[]
commons-cli,,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""utility""]","[{""Timestamp"":1157541304000,""File"":""478feadca929a946b2f1fb962bb2179264759821.jar""}]",[]
javax.inject,2.2.0,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
jetty-jndi,9.3.3.v20150827,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.eclipse.org/jetty",Unknown,[],"[{""Timestamp"":1440671768000,""File"":""43f0a0c2881c1d00517561785cde073b19830c33.jar""}]",[]
commons-io,2.5,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,"[""io""]","[{""Timestamp"":1510187350000,""File"":""308b62c17d0364cc76335f2c6ca23ad2848d1679.jar""}]",[]
commons-io,2.2,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://commons.apache.org/proper/commons-io/",Unknown,[],"[{""Timestamp"":1332758226000,""File"":""83b5b8a7ba1c08f9e8c8ff2373724e33d3c1e22a.jar""}]",[]
"maven-scm-provider-gitexe",1.7,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1335453936000,""File"":""57b2a9833843bb9677d5788e118865903c4dbba1.jar""}]",[]
tomcat,7.0.100,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,java,[],"[{""Timestamp"":1581381132000,""File"":""dc6d6e097a7429c948b3bb6d13f6936f3836f260.jar""}]","[{""CVE"":""CVE-2017-6056"",""Date"":1487318340000,""CVSS"":""5.0"",""Type"":""Exact Match""}]"
xmlpull,1.1.3.1,,"{""Name"":""Public domain"",""URL"":""http://en.wikipedia.org/wiki/Public_domain"",""Type"":""permissive""}",http://www.xmlpull.org,Unknown,[],"[{""Timestamp"":1053337460000,""File"":""2b8e230d2ab644e4ecaa94db7cdedbc40c805dfa.jar""}]",[]
lucene-analyzers-common,4.10.4,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1425055128000,""File"":""438dca3789b04735fe6b223d4aded3561fc5c039.jar""}]",[]
jcl-over-slf4j,1.7.26,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",http://www.slf4j.org,Unknown,[],"[{""Timestamp"":1550532902000,""File"":""33fbc2d93de829fa5e263c5ce97f5eab8f57d53e.jar""}]",[]
tiger-types,1.4,,"{""Name"":""unknown"",""URL"":"""",""Type"":""unknown""}",,Unknown,[],"[{""Timestamp"":1427979570000,""File"":""b58cccb7c875480eaafdde54a68c46d6c46c905b.jar""}]",[]
javassist,3.19.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}","http://www.javassist.org/",Unknown,[],"[{""Timestamp"":1420586264000,""File"":""50120f69224dd8684b445a6f3a5b08fe9b5c60f6.jar""}]",[]
maven-settings-builder,3.6.0,,"{""Name"":""Apache"",""URL"":""https://www.apache.org/licenses/"",""Type"":""permissive""}",,Unknown,[],"[{""Timestamp"":1554845710000,""File"":""906604b1018acf2f134dcbe474acb4589b6507d1.jar""}]",[]
